Week,Pub Date,Asset Type,Title / Topic,Content Type,Industry,Product Anchor,Offer,CTA Variant,Target Keyword,Cluster,FAQ Questions (AEO),Proof Library Ref,Status,Reviewer_Notes,row_number
1,Tue 10 Mar,LinkedIn,Where education leads disappear: 5 places between website and enrolments team,Teardown,Education,Sales Cloud + Integrations,A (Diagnostic),Book a 30-min enrolment pipeline reality check,education lead leakage salesforce,C2,Why do leads disappear? What causes enrolment lead loss? How to track lost enquiries in education CRM?,"MS-01, MS-03, P-01, P-06",Queued,,2
1,Thu 12 Mar,LinkedIn,"Your enquiry response time is a conversion lever, not a metric",Pattern,Education,Sales Cloud,A (Diagnostic),Book a 30-min enrolment pipeline reality check,admissions response time benchmarks,C2,What is a good enquiry response time? How does response speed affect enrolments?,"MS-01, P-01, P-02",Queued,,3
1,Sat 14 Mar,Blog,How Education Providers Lose Leads Between Website and CRM (and How to Stop It),Teardown,Education,Sales Cloud + Integrations,A (Diagnostic),Book a free enrolment pipeline reality check,education lead leakage crm,C2,Why do education leads disappear? How to stop lead leakage in enrolments? What causes form-to-CRM failures?,"MS-03, MS-04, P-04, P-06",Drafting,,4
2,Tue 17 Mar,LinkedIn,"If your Salesforce data can't be trusted, your reporting is theatre",Opinionated take,Cross-industry,Sales Cloud,A (Diagnostic),Not sure where your Salesforce pipeline is leaking? Book a 30-min reality check,salesforce data quality smb,C4,How to improve Salesforce data quality? Why is CRM reporting inaccurate?,"MS-07, P-08, P-09",Queued,,5
2,Thu 19 Mar,LinkedIn,Salesforce + Wisenet: the integration pattern that stops double-handling,Pattern,Education,Integrations,C (Implementation),"If your Wisenet-Salesforce sync fails quietly, we'll set up monitoring and stop leakage",salesforce wisenet integration,C3,How to integrate Salesforce with Wisenet? What are common Wisenet CRM sync problems?,"MS-04, P-06",Queued,,6
2,Sat 21 Mar,LinkedIn,Most education CRMs fail because the student lifecycle is undefined,Opinionated take,Education,Education Cloud,A (Diagnostic),Book a 30-min enrolment pipeline reality check,education crm student lifecycle,C1,What is a student lifecycle in CRM? Why do education CRM implementations fail?,"MS-03, MS-04, P-04",Queued,,7
3,Tue 24 Mar,LinkedIn,A simple lead routing pattern we use to cut enquiry response time,Pattern,Education,Sales Cloud,C (Implementation),"If you're using Sales Cloud but still losing leads, we'll fix routing + ownership",salesforce lead routing education,C2,How to set up lead routing in Salesforce for enrolments? What is round-robin assignment?,"MS-01, P-01, P-02",Queued,,8
3,Thu 26 Mar,Blog,"Salesforce + Wisenet Integration: Patterns, Common Failures, and Monitoring",Pattern,Education,Integrations,C (Implementation),"If your integrations fail quietly, we'll set up monitoring and stop leakage",salesforce wisenet integration australia,C3,How to integrate Salesforce with Wisenet? What causes Wisenet sync failures? How to monitor Salesforce integrations?,"MS-04, P-06, P-03",Queued,,9
3,Fri 27 Mar,LinkedIn,Your Salesforce admin is overloaded. Here's a governance pattern for lean teams,Pattern,Cross-industry,Sales Cloud,B (Operating Model),Your admin is stretched and your backlog is unmanaged — let's talk governance,salesforce admin overload solutions,C4,How to manage Salesforce with a small team? What is Salesforce governance for SMBs?,"MS-07, MS-08, P-09",Queued,,10
4,Tue 31 Mar,LinkedIn,Dashboards don't fix reporting — data ownership does,Opinionated take,Cross-industry,Sales Cloud,A (Diagnostic),Not sure where your Salesforce pipeline is leaking? Book a 30-min reality check,salesforce reporting data quality,C4,Why are Salesforce dashboards inaccurate? How to fix CRM reporting?,"MS-07, P-08, P-09",Queued,,11
4,Thu 02 Apr,LinkedIn,Case study: How an AU private college cut enquiry response time from days to hours,Case study,Education,Sales Cloud + Integrations,A (Diagnostic),Book a 30-min enrolment pipeline reality check,education enrolments improvement case study,C2,How to improve enquiry response time? What does a Salesforce enrolments implementation look like?,"MS-03, MS-04, P-01, P-04",Queued,,12
4,Fri 03 Apr,Blog,"Agentforce for Education: What It Actually Does, What It Doesn't, and Where to Start",Product truth,Education,Agentforce,A (Diagnostic),Considering Agentforce? Book a 30-min call — we'll tell you what it solves and what it won't,agentforce education use cases,C5,What is Agentforce for education? Can Agentforce help with enrolments? Is Agentforce worth it for schools?,,Queued,,13
4,Sat 04 Apr,LinkedIn,The integration failure that quietly costs you enrolments,Teardown,Education,Integrations,C (Implementation),"If your forms or integrations fail quietly, we'll set up monitoring and stop leakage",salesforce integration monitoring education,C3,How to detect silent integration failures? What causes CRM data sync problems?,"MS-04, P-06, P-03",Queued,,14
,,,,,,,,,,,,,,,
STATUS LEGEND,,,,,,,,,,,,,,,
Ready to Draft,,,,,,,,,,,,,,,
In QA / Awaiting Approval,,,,,,,,,,,,,,,
